UMAP1,UMAP2
3.5257251,2.7568843
3.7238996,3.7859833
2.5405877,4.418747
3.998484,4.6436987
1.7028818,4.651214
3.2657304,2.699156
4.0628643,4.9902587
3.3127496,4.1614113
2.086928,3.150275
5.2277493,3.661449
6.010476,4.772725
4.3472266,3.6557207
5.358992,4.1844435
7.3857946,4.6748776
2.533664,4.3458233
2.1960273,4.215538
6.628428,3.5241342
5.7563763,5.0450344
6.1385446,4.347322
5.5035033,5.0805736
5.5497904,4.695081
4.14485,4.6145926
2.346649,3.4077268
8.129723,6.050145
2.2303813,4.602066
5.373766,4.804373
1.8817886,4.6006136
6.7051206,3.7628288
3.7356997,5.0931463
3.259786,2.676166
6.285463,4.6542983
3.9894717,3.839195
2.6954286,3.1612737
5.9727335,4.832923
3.0714607,4.956668
4.6847405,3.3960807
6.7712564,3.6603754
5.503461,4.8998694
6.750674,4.5378675
2.613846,3.2371602
5.0985413,4.3773704
4.3928213,4.2241898
3.3707464,3.5831063
2.9567702,5.0048003
4.537439,4.508345
6.2687054,4.1849375
2.006621,4.771556
3.5252254,4.2695084
2.4448698,3.0541618
3.4666507,2.8684697
5.677384,4.7645817
2.680551,3.5901225
3.8807416,4.8626375
5.8819923,4.357734
4.805783,3.407372
2.9591484,3.960482
7.2211185,5.5243273
4.9931426,4.2794538
6.020649,4.3501024
2.623456,4.528825
5.701857,3.9489877
9.530394,2.1515
9.589392,3.4128518
9.614488,2.3156648
9.568635,2.5650523
7.5330687,4.536749
7.7629395,4.3129487
8.973755,3.259263
9.216333,3.4095063
7.921963,2.6421783
9.070722,5.3598375
6.734726,5.3080373
7.112871,4.2504587
8.75618,2.55887
8.267797,4.3072686
5.9329453,4.3639226
9.013502,2.7539995
8.422212,2.2253115
9.755253,7.7746415
7.2261744,4.4178867
9.512902,2.7469602
8.267624,3.5632193
8.722065,2.8982267
9.41379,2.7396598
9.6707945,2.2502642
9.371166,2.5725164
9.622539,2.335008
9.000695,2.1276233
9.2591305,2.184024
7.9764233,4.0226398
9.239665,3.2346609
8.964128,2.3592086
9.109135,2.6338983
9.438264,2.516881
7.83648,4.3196745
9.429768,2.0970242
8.514907,2.3330019
9.684198,2.9566905
9.040131,2.0741282
8.765958,3.4539506
8.222759,3.9048343
8.293538,6.083406
6.1332393,4.8945613
8.956702,3.4005349
8.081458,5.4161763
7.01959,5.603619
7.88438,3.236078
8.167911,3.0867121
8.917835,2.2867465
8.924859,5.6218085
7.9343047,3.533247
8.340097,2.7180295
9.373909,2.0834177
7.2285914,3.349598
7.4945054,4.3535247
7.6846256,4.3052335
5.7232056,5.1094866
8.142324,4.6472454
8.390208,5.1326294
8.022898,4.5774455
9.505314,2.4904587
7.869425,3.1299765
8.286628,2.7245584
8.686353,4.9828906
7.345839,3.6818478
8.820551,3.9966707
6.989902,3.331868
9.162087,5.583013
9.511296,2.7836487
9.192684,2.931206
6.5684886,3.786471
8.108921,3.0114582
8.392104,3.307147
9.088575,2.6320317
9.430235,3.2970345
7.359503,3.2206151
8.670462,2.160733
7.850739,3.9828587
8.78867,4.337403
8.53108,2.9705768
2.2280178,2.9381127
1.5365851,4.514923
3.0552332,2.664785
3.0492797,4.342952
2.6453385,3.7028584
8.15736,5.7415943
5.657751,3.7126467
3.3021793,2.8180597
2.3130612,2.9024606
5.599086,4.8911314
4.692521,3.5715454
2.4014919,4.160162
1.6563643,4.601014
2.549598,4.910816
3.3153784,5.044626
2.8372955,2.8753161
2.1945336,3.121281
2.0990546,3.0034378
2.2925115,3.733911
2.5983546,3.7834587
3.1206522,4.698697
2.7643235,4.7013807
6.6709776,5.124083
1.4775934,4.444974
2.1182013,4.600444
2.149321,2.905317
3.130805,5.2486167
2.7249472,5.042597
5.053934,3.5534308
5.573534,4.5502396
2.4976547,3.2665567
4.6218376,3.1961362
1.3885019,4.4463887
7.095901,4.0278554
2.2247353,4.7898088
4.010375,4.654303
1.5435284,4.5443134
2.892609,4.3182797
3.2221339,5.153417
2.3873048,3.922749
3.4069955,2.6966803
3.512969,4.1502643
1.5829865,4.4647512
3.2325966,3.9894223
5.3128443,4.9038916
2.8149838,2.756724
1.6666964,4.5457654
1.9919765,3.2227008
1.4826398,4.234026
5.8864408,4.860416
8.629564,5.1472955
8.806271,4.7859364
6.0107136,5.1791935
9.280611,5.732849
6.1163383,5.258847
8.786075,4.616
8.195402,5.064423
7.8144484,4.7901945
8.420536,5.513748
8.129165,6.2381196
9.156484,3.0180507
8.345349,6.122081
8.684288,5.5032096
8.190079,5.10526
8.633929,4.673259
6.800177,4.8292623
7.8742166,5.4814973
9.254614,5.661724
8.350614,3.6975582
8.974022,5.63288
7.579046,5.6741605
7.7937922,4.6582623
7.800294,5.8887653
8.336438,4.801411
7.2791243,5.699604
8.387192,3.7278054
8.358263,4.0808077
8.616421,3.0417643
8.310409,5.383532
8.500127,4.3071184
8.266297,5.890288
8.5228195,4.7195234
7.929035,6.0229816
8.33003,3.7961493
8.22931,3.3615675
8.28413,6.303816
8.515449,4.994869
8.205553,6.0158534
9.5361805,6.012403
8.821204,5.071305
9.9567375,7.087309
10.0285425,7.0010505
9.947825,6.6042128
9.702811,7.0138793
9.169808,7.776571
9.35709,7.4683642
9.6439085,7.0602975
9.777665,7.314805
9.908946,6.426162
9.976976,7.4415126
9.988489,7.524069
9.349762,7.462691
9.072287,7.139612
10.08593,7.3845453
9.4619,6.943447
9.25302,7.843365
9.350721,7.866159
9.990565,7.606751
9.451294,7.732908
9.255469,7.9469957
9.854515,6.546236
9.289298,7.847612
9.2597,7.539635
9.840659,6.878202
9.956819,7.5922713
9.869956,7.0863533
9.524123,7.182739
9.470945,7.366584
10.050766,7.0364423
9.142455,7.741019
9.854499,7.724365
9.118838,7.8512807
9.479958,6.982544
9.848367,6.4385304
9.251031,6.906367
3.1358547,3.341176
3.858234,4.3024626
3.0052397,5.192608
3.1431596,3.458666
3.2060726,5.2624855
2.6597135,2.9406145
3.3399873,2.7257307
3.4526534,3.4789157
3.3655074,3.0487628
3.3605936,3.1471481
3.8849986,4.4995604
5.9007087,5.1070313
5.5072417,5.147034
3.155762,4.087857
3.8249128,4.2361574
3.1824043,4.9352274
3.4537323,4.996276
2.93996,4.0085382
2.7012415,3.4732566
3.0542994,3.8950593
3.8198605,3.0637808
1.9362125,4.2868185
2.5402684,4.2517853
3.208828,4.763316
3.349957,3.0840368
3.7717707,3.7661424
2.584413,4.3725247
3.7452228,2.946101
5.48709,5.2413726
4.184717,4.8215275
2.917069,5.277528
2.6500752,2.9519048
3.0873609,3.5128884
3.5006046,4.665873
2.4051967,4.539294
